,Name,Location,Brands
108,COSE,"Cremona, Italy","A.P.C., Alexander Wang, Bianca Biazzi, Chiara Ferragni, Current Elliot, DKNY, Emilio Pucci, Forte Forte, Golden Goose Deluxe Brand, IRO, Isabel Marant, Jil Sander, Kenzo, Moschino"
109,COTTON CLUB,"Monza, Italy","11 by BBS, Ann Demeulemeester, Dsquared2, Guidi, Julius, Off-White, Palm Angels, Rick Owens DRKSHDW, Uma Wang, Werkstatt, Yohji Yamamoto"
110,COURCELLES DUBAI MALL,"Dubai, U.A.E.","BOSS and Chloe., Givenchy, Lanvin"
111,COUTURE KIDS,"New York, United States","Burberry, Fendi, Givenchy, IKKS, Lanvin, Moschino, Petit Bateau, Roberto Cavalli, Stella McCartney, Versace"
112,CREA,"Treviglio, Italy","Bonpoint, Burberry, Douuod, Dsquared2, Golden Goose, Il Gufo, Moncler, Parajumper, Stella McCartney, Stone Island and Ralph Lauren, Woolrich"
113,CREATIVE99,"Altopascio, Italy","Burberry, Chloè, Dsquared2, Emporio Armani, Givenchy, Golden Goose, Herno, Hogan, Kenzo, MSGM, Monnalisa, Moschino, Stella McCartney"
114,CUCCUINI,"Livorno, Italy","3.1 Philip Lim, Alexander Wang, Ash, Christopher Kane, Current/Elliott, Fendi, Gienchi, Giuseppe Zanotti Design, Marc Jacobs, Moncler, Philippe Audibert, Rick Owens, Stuart Weitzman, Tory Burch"
115,CUMINI,"Gemona del Friuli, Italy","Burberry, Dolce & Gabbana, Emilio Pucci, Faliero Sarti, Fendi, Givenchy, Lanvin, Marc Jacobs, Moncler Gamme Bleu, P.A.R.O.S.H, Sergio Rossi, Stella McCartney, Valentino Garavani, Vionnet, Yves Salomon"
116,CUMINI CASA,"Gemona del Friuli, Italy","24 BOTTLES, ALESSI, ARTEK, ASSOULINE, BACCARAT, BITOSSI CERAMICHE, CULTI MILANO., FORNASETTI PROFUMI, GINORI 1735, HAY, LE DOUBLEJ, LSA INTERNATIONAL, MENU, QUEBOO, ROSENTHAL, SALLVIATI, SALVADORI, SAMBONET, SELETTI, ST.LOUIS, TASCHEN, TIMEX, VENINI, VITRA"
117,CURIO,"Miami, United States","Amur, Cire Trudon, Frances de Lourdes, Gia Couture x Pernille, In The Mood For Love, Just Bee Queen, Les Tien, Mes Demoiselles Paris, Rene Caovilla, Rosetta Getty, Zimmermann"
118,D'ANIELLO,"Carinaro, Italy","Alexander McQueen, Burberry, Dolce & Gabbana, Fendi, Forte Forte, Givenchy, Kenzo, Lanvin, Moncler, Moschino, Neil Barrett, Raf Simons, Reed Krakoff, Saint Laurent, Valentino"
119,D2,"Salerno, Italy","Aspesi, Bleu De Paname, Givenchy, Gosha Rubchinskiy, Kenzo, Levi's Vintage, MSGM, Neil Barrett, Our Legacy, Sunnei, Y-3, Études"
120,DANIEL ARNEDO,"Logroño, Spain","Brunello Cucinelli, Dolce & Gabbana, Dsquared2, Etro, Moncler, Rick Owens, Stone Island, Tom Ford"
121,DANTE 5 DONNA,"Bari, Italy","Balmain, Chloé, Mary Katranzou, Stella McCartney"
122,DANTE 5 UOMO,"Bari, Italy","Band of Outsiders, DSQUARED2, Dacute, Golden Goose Deluxe Brand, Neil Barrett"
123,DAVID LAWRENCE,"Bellevue, United States","Edward Achour Paris, Moschino, Neil Barrett, No. 21, Philipp Plein, Tateossian, Versace"
124,DEL ROSA AL AMARILLO,"Santander, Spain","3.1 Phillip Lim, Alexander Wang, Gianvito Rossi, Giuseppe Zanotti Design, Iro, Isabel Marant, Kenzo, Moncler, Nina Ricci, Stella McCartney"
125,DELFIN&MARIA,"Ourense, Spain","Church’s, Dolce & Gabbana, Hogan, Jimmy Choo, Moncler, Philippe Model, Santoni, Sergio Rossi"
126,DELIBERTI,"Naples, Italy","Alexander Wang, Balmain, Casadei, Drome, Giuseppe Zanotti Design, Givenchy, Golden Goose Deluxe Brand, Helmut Lang, Jimmy Choo, Kenzo"
127,DELITTO E CASTIGO,"Madrid, Spain","Alexandre Vauthier, Ann Demeulemeester, Balmain, Comme des Garçons, Elie Saab, Haider Ackmermann, Missoni, Rick Owens, Roberto Cavalli, Vivienne Westwood, Yohji Yamamoto, Zuhair Murad"
128,DELLOGLIO,"Palermo, Italy","Alexander McQueen, Brunello Cucinelli, Burberry, Christopher Kane, DSquared2, Dolce & Gabbana, Givenchy, Kenzo, MSGM, Moncler, Proenza Schouler, Stella McCartney, Valentino"
